_id,fy_ef,organization,estimates_document,statutory_item,authorities
3698,FY 2013-14,Atlantic Canada Opportunities Agency,Main Estimates,Contributions to employee benefit plans,6939430
3699,FY 2013-14,Atomic Energy of Canada Limited,Main Estimates,Payments to Atomic Energy of Canada Limited,108919637
3700,FY 2013-14,Canada Border Services Agency,Main Estimates,Contributions to employee benefit plans,179164197
3701,FY 2013-14,Canada Industrial Relations Board,Main Estimates,Contributions to employee benefit plans,1637433
3702,FY 2013-14,Canada Revenue Agency,Main Estimates,Children's special allowance payments,238000000
3703,FY 2013-14,Canada Revenue Agency,Main Estimates,Salary and Motor Car Allowance,79102
3704,FY 2013-14,Canada Revenue Agency,Main Estimates,Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act,193779186
3705,FY 2013-14,Canada Revenue Agency,Main Estimates,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006",283000000
3706,FY 2013-14,Canada Revenue Agency,Main Estimates,Contributions to employee benefit plans,442552264
3707,FY 2013-14,Canada School of Public Service,Main Estimates,Contributions to employee benefit plans,6233121
3708,FY 2013-14,Canada School of Public Service,Main Estimates,Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act,50000000
3709,FY 2013-14,Canadian Centre for Occupational Health and Safety,Main Estimates,Contributions to employee benefit plans,1117980
3710,FY 2013-14,Canadian Energy Regulator,Main Estimates,Contributions to employee benefit plans,7195012
3711,FY 2013-14,Canadian Food Inspection Agency,Main Estimates,Spending of Revenues pursuant to Section 30 of the Canadian Food Inspection Agency Act,53161000
3712,FY 2013-14,Canadian Food Inspection Agency,Main Estimates,Contributions to employee benefit plans,79025461
3713,FY 2013-14,Canadian Food Inspection Agency,Main Estimates,"Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",3500000
3714,FY 2013-14,Canadian Grain Commission,Main Estimates,Contributions to employee benefit plans,585473
3715,FY 2013-14,Canadian High Arctic Research Station,Main Estimates,Contributions to employee benefit plans,142943
3716,FY 2013-14,Canadian Human Rights Commission,Main Estimates,Contributions to employee benefit plans,2600171
3717,FY 2013-14,Canadian Human Rights Tribunal,Main Estimates,Contributions to employee benefit plans,403636
3718,FY 2013-14,Canadian Institutes of Health Research,Main Estimates,Contributions to employee benefit plans,5934927
3719,FY 2013-14,Canadian Intergovernmental Conference Secretariat,Main Estimates,Contributions to employee benefit plans,437917
3720,FY 2013-14,Canadian International Development Agency,Main Estimates,Contributions to employee benefit plans,22881774
3721,FY 2013-14,Canadian International Development Agency,Main Estimates,Payments to International Financial Institutions - Direct payments,246000000
3722,FY 2013-14,Canadian International Development Agency,Main Estimates,Salary and Motor Car Allowance,79102
3723,FY 2013-14,Canadian International Trade Tribunal,Main Estimates,Contributions to employee benefit plans,1233346
3724,FY 2013-14,Canadian Northern Economic Development Agency,Main Estimates,Contributions to employee benefit plans,1023655
3725,FY 2013-14,Canadian Nuclear Safety Commission,Main Estimates,Contributions to employee benefit plans,4357801
3726,FY 2013-14,Canadian Nuclear Safety Commission,Main Estimates,Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act,93567046
3727,FY 2013-14,Canadian Radio-television and Telecommunications Commission,Main Estimates,Contributions to employee benefit plans,6803308
3728,FY 2013-14,Canadian Security Intelligence Service,Main Estimates,Contributions to employee benefit plans,48371070
3729,FY 2013-14,Canadian Space Agency,Main Estimates,Contributions to employee benefit plans,10747711
3730,FY 2013-14,Canadian Transportation Accident Investigation and Safety Board,Main Estimates,Contributions to employee benefit plans,3505079
3731,FY 2013-14,Canadian Transportation Agency,Main Estimates,Contributions to employee benefit plans,3507200
3732,FY 2013-14,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Main Estimates,Contributions to employee benefit plans,575348
3733,FY 2013-14,Communications Security Establishment,Main Estimates,Contributions to employee benefit plans,33389185
3734,FY 2013-14,Copyright Board,Main Estimates,Contributions to employee benefit plans,301313
3735,FY 2013-14,Correctional Service of Canada,Main Estimates,Contributions to employee benefit plans,233116766
3736,FY 2013-14,Courts Administration Service,Main Estimates,Contributions to employee benefit plans,7165435
3737,FY 2013-14,Department for Women and Gender Equality,Main Estimates,Contributions to employee benefit plans,1244686
