_id,fy_ef,organization,estimates_document,vote_number,vote_type,authorities
5003,FY 2013-14,Atlantic Canada Opportunities Agency,Main Estimates,5,Grants & Contributions,225820293
5004,FY 2013-14,Atlantic Canada Opportunities Agency,Main Estimates,1,Operating/Program,67211348
5005,FY 2013-14,Atomic Energy of Canada Limited,Main Estimates,15,Payments to Crown Corps,102143000
5006,FY 2013-14,Canada Border Services Agency,Main Estimates,15,Capital,104335441
5007,FY 2013-14,Canada Border Services Agency,Main Estimates,10,Operating/Program,1396653386
5008,FY 2013-14,Canada Council for the Arts,Main Estimates,10,Payments to Crown Corps,180260816
5009,FY 2013-14,Canada Industrial Relations Board,Main Estimates,10,Operating/Program,11916532
5010,FY 2013-14,Canada Mortgage and Housing Corporation,Main Estimates,15,Payments to Crown Corps,2100578000
5011,FY 2013-14,Canada Post Corporation,Main Estimates,15,Payments to Crown Corps,22210000
5012,FY 2013-14,Canada Revenue Agency,Main Estimates,1,Operating/Program,3046330734
5013,FY 2013-14,Canada Revenue Agency,Main Estimates,5,Capital,73081967
5014,FY 2013-14,Canada School of Public Service,Main Estimates,40,Operating/Program,42231200
5015,FY 2013-14,Canadian Air Transport Security Authority,Main Estimates,20,Payments to Crown Corps,598286200
5016,FY 2013-14,Canadian Broadcasting Corporation,Main Estimates,15,Payments to Crown Corps,956913060
5017,FY 2013-14,Canadian Broadcasting Corporation,Main Estimates,20,Payments to Crown Corps,4000000
5018,FY 2013-14,Canadian Broadcasting Corporation,Main Estimates,25,Payments to Crown Corps,103856000
5019,FY 2013-14,Canadian Centre for Occupational Health and Safety,Main Estimates,20,Operating/Program,3853172
5020,FY 2013-14,Canadian Commercial Corporation,Main Estimates,20,Payments to Crown Corps,15481540
5021,FY 2013-14,Canadian Dairy Commission,Main Estimates,15,Operating/Program,3985810
5022,FY 2013-14,Canadian Energy Regulator,Main Estimates,25,Operating/Program,55241279
5023,FY 2013-14,Canadian Food Inspection Agency,Main Estimates,13,Capital,17815785
5024,FY 2013-14,Canadian Food Inspection Agency,Main Estimates,11,Operating/Program,534383158
5025,FY 2013-14,Canadian Grain Commission,Main Estimates,30,Operating/Program,21582235
5026,FY 2013-14,Canadian High Arctic Research Station,Main Estimates,25,Operating/Program,2433726
5027,FY 2013-14,Canadian Human Rights Commission,Main Estimates,10,Operating/Program,19861118
5028,FY 2013-14,Canadian Human Rights Tribunal,Main Estimates,15,Operating/Program,4117747
5029,FY 2013-14,Canadian Institutes of Health Research,Main Estimates,15,Operating/Program,46367765
5030,FY 2013-14,Canadian Institutes of Health Research,Main Estimates,20,Grants & Contributions,915350465
5031,FY 2013-14,Canadian Intergovernmental Conference Secretariat,Main Estimates,5,Operating/Program,5597587
5032,FY 2013-14,Canadian International Development Agency,Main Estimates,25,Operating/Program,171101774
5033,FY 2013-14,Canadian International Development Agency,Main Estimates,30,Grants & Contributions,2719266590
5034,FY 2013-14,Canadian International Trade Tribunal,Main Estimates,25,Operating/Program,8660195
5035,FY 2013-14,Canadian Museum for Human Rights,Main Estimates,30,Payments to Crown Corps,31700000
5036,FY 2013-14,Canadian Museum of History,Main Estimates,35,Payments to Crown Corps,57418730
5037,FY 2013-14,Canadian Museum of Immigration at Pier 21,Main Estimates,40,Payments to Crown Corps,18450000
5038,FY 2013-14,Canadian Museum of Nature,Main Estimates,45,Payments to Crown Corps,25834904
5039,FY 2013-14,Canadian Northern Economic Development Agency,Main Estimates,7,Grants & Contributions,38664119
5040,FY 2013-14,Canadian Northern Economic Development Agency,Main Estimates,3,Operating/Program,12103359
5041,FY 2013-14,Canadian Nuclear Safety Commission,Main Estimates,20,Operating/Program,34976638
5042,FY 2013-14,Canadian Radio-television and Telecommunications Commission,Main Estimates,50,Operating/Program,4403550
5043,FY 2013-14,Canadian Security Intelligence Service,Main Estimates,20,Operating/Program,464636769
5044,FY 2013-14,Canadian Space Agency,Main Estimates,30,Capital,272688412
5045,FY 2013-14,Canadian Space Agency,Main Estimates,25,Operating/Program,171614805
5046,FY 2013-14,Canadian Space Agency,Main Estimates,35,Grants & Contributions,33630000
5047,FY 2013-14,Canadian Tourism Commission,Main Estimates,40,Payments to Crown Corps,57832802
5048,FY 2013-14,Canadian Transportation Accident Investigation and Safety Board,Main Estimates,10,Operating/Program,26063130
5049,FY 2013-14,Canadian Transportation Agency,Main Estimates,25,Operating/Program,24153322
5050,FY 2013-14,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Main Estimates,65,Operating/Program,4850334
5051,FY 2013-14,Communications Security Establishment,Main Estimates,20,Operating/Program,388818662
5052,FY 2013-14,Copyright Board,Main Estimates,45,Operating/Program,2826682
5053,FY 2013-14,Correctional Service of Canada,Main Estimates,30,Capital,355544519
5054,FY 2013-14,Correctional Service of Canada,Main Estimates,25,Operating/Program,2008952406
5055,FY 2013-14,Courts Administration Service,Main Estimates,30,Operating/Program,61325338
5056,FY 2013-14,Department for Women and Gender Equality,Main Estimates,30,Grants & Contributions,19033333
5057,FY 2013-14,Department for Women and Gender Equality,Main Estimates,25,Operating/Program,9339148
5058,FY 2013-14,Department of Agriculture and Agri-Food,Main Estimates,10,Grants & Contributions,226495111
5059,FY 2013-14,Department of Agriculture and Agri-Food,Main Estimates,5,Capital,27872294
5060,FY 2013-14,Department of Agriculture and Agri-Food,Main Estimates,1,Operating/Program,594969595
5061,FY 2013-14,Department of Canadian Heritage,Main Estimates,1,Operating/Program,162928160
5062,FY 2013-14,Department of Canadian Heritage,Main Estimates,5,Grants & Contributions,1131552460
5063,FY 2013-14,Department of Citizenship and Immigration,Main Estimates,5,Grants & Contributions,949945536
5064,FY 2013-14,Department of Citizenship and Immigration,Main Estimates,1,Operating/Program,552534566
5065,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,1,Operating/Program,1415528466
5066,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,5,Capital,13682615
5067,FY 2013-14,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,10,Grants & Contributions,6316598423
5068,FY 2013-14,Department of Employment and Social Development,Main Estimates,5,Grants & Contributions,1761893292
5069,FY 2013-14,Department of Employment and Social Development,Main Estimates,1,Operating/Program,626536688
5070,FY 2013-14,Department of Finance,Main Estimates,10,Other,1
5071,FY 2013-14,Department of Finance,Main Estimates,1,Operating/Program,111169165
5072,FY 2013-14,Department of Finance,Main Estimates,5,Grants & Contributions,5035000
